product_id;avg_price;local_market_size;total_market;index_min
1497;10056.7221506227;5059;50873304;5
1490;6982.97067017083;15220;106266040;5
1489;1609.97221525601;28710;46194390;5
1502;24731.38;7954;196710374;6
423923;9790.43;16504;161574160;6
1506;1064.74647925291;41548;44207072;5
1501;14567.9259439708;5747;83716549;5
1498;10248.6101197482;14614;149764272;5
1499;3649.4555361475;16488;60164712;5
1494;3679.32220570079;18629;68536091;5
373201;18071.4542365457;6392;115509832;5
1496;10032.918284911;10670;107041440;5
1522;33094.66;6523;215872162;6
423151;21912.24;10683;234085896;6
424630;22593.361585504;3532;79798476;5
422707;28182.3571795957;18898;532583436;5
422703;17865.2479979784;29680;530233200;5
422704;143991.844963716;6201;892888191;5
422705;1528430.09149623;929;1419911470;5
1504;19018.85;10486;199422748;6
15743;7754.70529627195;10649;82572346;5
15750;9545.62574132492;7925;75644125;5
1505;95113.33;2076;197454588;6
422434;104020.64;1942;202006840;6
423951;98426.1652082145;1753;172540778;5
1500;12651.5965925304;7149;90441999;5
1492;14294.9410784028;6862;98085428;5
423117;120308.65;1832;220404256;6
3865;75114.36;2575;193418550;6
1491;3442.39086491306;13458;46322436;5
