product_id;avg_price;local_market_size;total_market;index_min
1497;7989.54;370;2955930;-1
1490;4237.82;800;3389600;2
1489;5567.91;584;3251128;6
1502;8396.07;739;6204644;6
423923;1879.35;600;1127400;-1
1506;313.63;2825;884225;1
1501;13804.16;231;3188724;0
1498;8549.97;651;5565399;6
1499;7469.08;567;4234923;6
1494;969.63;1957;1896333;6
373201;609.2;1505;916545;-1
1496;4135.08;1073;4436855;0
1522;14362.84;488;7008656;6
423151;11108.96;490;5442920;6
424630;22301.96;197;4393297;6
422707;8356.27375239923;1042;8706952;5
422703;4528.03;1555;7041040;6
422704;115034.922843137;102;11733468;5
422705;193671.35;99;19173429;6
1504;9802.96;317;3107234;6
15743;3078.2;556;1711368;1
15750;14430.22;189;2727270;6
1505;31114.34;161;5009354;6
422434;43992.04;129;5674968;6
423951;54452.7;130;7078760;6
1500;12475.46;297;3705075;6
1492;1151.34;433;498383;1
423117;54083.59;82;4434806;6
3865;31933.84;183;5843739;6
1491;413.51;1116;460908;1
