product_id;avg_price;local_market_size;total_market;index_min
1497;12711.4670061728;1944;24710184;5
1490;9557.52852776363;3926;37520782;5
1489;4160.20370466321;6176;25692160;5
1502;7116.942;2580;18359280;5
423923;4301.3527072758;7683;33044583;5
1506;2843.42214076906;8894;25285642;5
1501;30697.2175725281;1689;51847233;5
1498;10467.4341456583;6069;63524223;5
1499;5724.31315531001;4887;27973188;5
1494;5217.33197308339;4161;21707937;5
373201;3936.4038878363;5278;20774208;5
1496;15584.06;3255;50725920;6
1522;21895.77;2612;57189740;6
423151;27962.61;1863;52093206;6
424630;17539.3678937104;2051;35972489;5
422707;13825.6784546145;9221;127480325;5
422703;8989.1233153904;17277;155302953;5
422704;82426.0106903694;2897;238788122;5
422705;1119492.54073171;369;413092548;5
1504;18734.31;2636;49382824;6
15743;16669.1612991657;1678;27970582;5
15750;5262.14589063;3127;16454274;5
1505;25108.57248;875;21969500;5
422434;29534.2020649652;862;25458308;5
423951;65482.2757324841;1256;82245392;5
1500;8671.00426229508;2135;18512585;5
1492;13805.9546441948;1602;22115610;5
423117;56159.85;747;41950773;6
3865;18407.0567654987;1113;20486991;5
1491;7699.48637712789;2291;17638409;5
