product_id;avg_price;local_market_size;total_market;index_min
1497;56297.8706335616;2920;164387240;5
1490;13525.7939001031;6787;91794175;5
1489;12484.8187969523;7481;93392804;5
1502;55942.28;5560;311037520;6
423923;17219.1423064568;6226;107205494;2
1506;7796.78929155656;15894;123909624;1
1501;20701.0459256768;5947;123108847;5
1498;14902.7920015516;12890;192086780;4
1499;22603.4969772815;5194;117399982;0
1494;16765.7749483895;8041;134807365;1
373201;18577.7037678072;7511;139531847;2
1496;17921.8737832214;10573;189478733;4
1522;58260.86;5520;321595200;6
423151;73172.32;4459;326273948;6
424630;71286.84668264;4591;327274026;5
422707;13049.5939671826;68744;897040456;5
422703;12360.6261937086;72480;895852800;5
422704;39219.7421761188;46321;1816663299;5
422705;647293.707386262;3363;-2118120937;5
1504;54746.23;5610;307125060;6
15743;13902.6605442177;5880;81743760;2
15750;27034.7943589744;5070;137062380;5
1505;162331.6;1936;314272816;6
422434;176783.84;1862;329169946;6
423951;156757.298972402;1703;266957171;5
1500;32544.7053913043;4025;130989600;5
1492;36815.1969562576;3292;121194980;5
423117;206612.52;1645;339876740;6
3865;134181.66;2422;324986382;6
1491;11743.6459923664;5240;61533320;2
