product_id;avg_price;local_market_size;total_market;index_min
1497;13483.78;5039;67940837;1
1490;7367.66;12000;88404000;2
1489;699.582723060289;19423;13576677;4
1502;1153.94250058135;12901;14874853;4
423923;53.47;212248;11249144;3
1506;33.1;336818;11114994;3
1501;622.18;37613;23395286;2
1498;4617.32;20192;93226464;-1
1499;517.21;46154;23861618;1
1494;1295.54;23411;30317245;-1
373201;110.22;99354;10928940;2
1496;9536.57;11000;104896000;2
1522;2111.06;9720;20518920;-1
423151;383.61;36477;13970691;1
424630;19548.1121510979;2687;52525476;5
422707;5707.98;25076;143108732;3
422703;3396.5;28916;98198736;3
422704;105937.78;3470;367601390;-1
422705;5973162.29;99;591343038;6
1504;2140.75;14220;30430800;-1
15743;524.09;19563;10251012;0
15750;3537.29838735601;7466;26407242;5
1505;27947.67;2469;69001143;6
422434;37427.12;1898;71036446;6
423951;50878.76;1759;89494402;6
1500;22858.41;2755;62973790;6
1492;1242.77;8504;10561968;-1
423117;74957.05;1974;147965118;1
3865;2810.36;4913;13805530;-1
1491;332.66;25482;8460024;0
