product_id;avg_price;local_market_size;total_market;index_min
1497;27197.6132337246;937;25483589;5
1490;9328.77373195113;2701;25194928;5
1489;7285.08153585545;3542;25803470;5
1502;20695.53;2816;58277120;6
423923;18141.62;2745;49797045;6
1506;8275.14280898876;5340;44188500;5
1501;35317.5261618799;766;27052822;5
1498;7269.16163942194;8442;61364898;5
1499;9432.92499019223;2549;24042168;5
1494;9654.94862686567;2345;22638630;5
373201;9720.88309278351;2619;25456680;5
1496;7901.00044829647;3346;26436746;5
1522;21572.09;3043;65643596;6
423151;12637.44;6067;76668679;6
424630;11631.4048527349;2139;24878709;5
422707;15479.6757123474;11055;171120345;5
422703;11404.2306287929;19609;223621036;5
422704;81215.7451493459;4051;329001965;5
422705;1227882.33102564;390;478873980;5
1504;21557;2902;62558414;6
15743;27608.1331846344;1614;44559312;5
15750;20799.0625;1264;26289936;5
1505;45658.95;1317;60131586;6
422434;53425.41;1201;64163425;6
423951;48026.8251975417;1139;54701614;5
1500;14173.9876958525;1953;27679869;5
1492;17466.0370881671;1724;30111384;5
423117;72967.72;978;71361726;6
3865;39740.89;1692;67240080;6
1491;6336.34316686967;6568;41614848;5
