product_id;avg_price;local_market_size;total_market;index_min
1497;33342.53;4743;158141106;1
1490;5303.12;11083;58773149;6
1489;2033.66;27466;55838378;0
1502;1006.25742636004;17959;18066754;5
423923;63.88;203964;12849732;3
1506;43.93;336818;14483174;3
1501;1227.94;38129;46784283;2
1498;11007.26;19020;209353140;-1
1499;983.02;44529;43772007;1
1494;2913.71;22301;64962813;-1
373201;124.6;100715;12488660;2
1496;6886.34;10419;71745234;6
1522;3294.62;9475;31210650;-1
423151;429.3;35051;15036879;1
424630;19150.740788984;2687;51456050;5
422707;7095.82;26954;191238630;3
422703;3254.4;28916;94092664;3
422704;178565.68;3470;619620550;-1
422705;6085842.24;99;602498358;6
1504;4905.03;13547;66448035;-1
15743;628.38;16697;10485716;-1
15750;3442.92930947897;7965;27415530;5
1505;27947.67;2480;69308560;6
422434;38097.52;1898;72308106;6
423951;51412.71;1759;90433708;6
1500;22534.89;2788;62824792;6
1492;1396.85;7453;10404388;-1
423117;46257.17;1764;81597348;6
3865;3124.3;4205;13136420;-1
1491;423.86;20741;8773443;-1
