product_id;avg_price;local_market_size;total_market;index_min
1497;42949.81;800;34359200;1
1490;8445.45;1620;13680900;6
1489;4470.06918189991;3337;14916390;5
1502;4155.21;2782;11559210;2
423923;459.020181965224;7419;3405321;4
1506;376.007526053466;8828;3319328;5
1501;8674.81;1364;11831336;1
1498;6509.24;2369;15419821;6
1499;9792.94;2902;28416384;1
1494;13624.18;904;12316096;6
373201;3394.14537422037;2886;9795084;5
1496;9122.11;1889;17231458;6
1522;6488.55;1447;9388136;3
423151;5853.31;1868;10933404;3
424630;34877.17;492;17159484;6
422707;15070.1;4607;69427490;6
422703;6501.78;9193;59763693;6
422704;745199.67;178;132645422;6
422705;1408586.13;99;139450014;6
1504;4390.32610600324;1849;8117110;4
15743;15654.98;742;11615268;6
15750;18611.65;774;14404914;6
1505;43512.3;357;15533784;6
422434;47989.7;347;16652183;6
423951;55673.12;325;18093725;6
1500;14465.45;1029;14884485;6
1492;5534.85856135402;709;3923606;5
423117;54821.68;314;17213794;6
3865;17259.39;570;9837630;3
1491;1239.48411893071;1833;2271087;4
